epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0025,0.86233,2.72663,2.12097,1.2235,0.69679,0.41379,0.61047,0.37252,0.69679,0.41379,0.6156,0.39199,0.92182,1.58509,2.87297,0.93998,0.00036,0.00036,0.00036
2,75.9484,0.81749,1.85062,1.39155,1.16979,0.87371,0.18,0.46335,0.32223,0.87371,0.18,0.46335,0.30018,0.96855,1.91642,2.9338,0.97064,0.000725348,0.000725348,0.000725348
3,109.456,0.88603,1.87961,1.28934,1.159,0.78918,0.48,0.56828,0.37455,0.78918,0.48,0.56828,0.36318,1.05202,2.93314,2.53773,1.03751,0.00107565,0.00107565,0.00107565
4,143.841,0.85238,1.73579,1.18622,1.13914,0.16731,0.34,0.22472,0.17117,0.16731,0.34,0.21533,0.14214,1.01774,7.36959,2.60598,1.0507,0.0014109,0.0014109,0.0014109
5,178.612,0.87753,1.70131,1.15949,1.16464,0.80991,0.76703,0.78769,0.55485,0.80991,0.76703,0.78769,0.50996,1.04847,2.86663,1.74086,1.06525,0.0017311,0.0017311,0.0017311
6,212.524,0.84869,1.64702,1.04223,1.14449,0.26809,0.6,0.26459,0.18492,0.26809,0.6,0.27254,0.19489,1.019,2.0786,5.59446,1.00464,0.001802,0.001802,0.001802
7,246.596,0.8339,1.54008,1.00817,1.1212,0.10353,0.76,0.1264,0.07414,0.10922,0.8,0.13221,0.07523,1.39315,2.42924,5.59294,1.69515,0.0017624,0.0017624,0.0017624
8,279.879,0.83704,1.58961,0.94698,1.12628,0.7322,0.82,0.72956,0.54602,0.75046,0.84,0.7451,0.47043,0.89444,2.16785,1.62232,1.03748,0.0017228,0.0017228,0.0017228
9,314.65,0.84073,1.4579,0.91464,1.13551,0.5088,0.74,0.52732,0.42571,0.5088,0.74,0.53584,0.41279,0.8168,1.47727,2.92732,0.99807,0.0016832,0.0016832,0.0016832
10,348.949,0.77243,1.62954,0.85269,1.12162,0.82004,0.92,0.80578,0.66037,0.82004,0.92,0.80578,0.59509,0.75887,1.57549,1.50714,0.93162,0.0016436,0.0016436,0.0016436
11,383.32,0.76476,1.46384,0.82472,1.10064,0.83486,0.92,0.80537,0.60529,0.83486,0.92,0.80537,0.60501,0.88721,1.53793,1.41735,1.01934,0.001604,0.001604,0.001604
12,417.188,0.78119,1.47306,0.81669,1.10902,0.83388,0.92,0.80971,0.59582,0.83388,0.92,0.81189,0.63341,0.92155,1.28089,1.18906,1.04026,0.0015644,0.0015644,0.0015644
13,450.046,0.7235,1.31329,0.7644,1.07701,0.83424,0.92,0.82447,0.64971,0.83424,0.92,0.82447,0.63529,0.76067,1.26576,1.17861,0.92377,0.0015248,0.0015248,0.0015248
14,484.488,0.71234,1.39564,0.74,1.06967,0.83396,0.92,0.8232,0.65818,0.83396,0.92,0.8232,0.63861,0.75128,1.19689,1.15986,0.93177,0.0014852,0.0014852,0.0014852
15,520.07,0.72677,1.3949,0.72164,1.06528,0.81992,0.92,0.79567,0.63867,0.81992,0.92,0.79567,0.63109,0.74314,1.19028,1.04957,0.94444,0.0014456,0.0014456,0.0014456
16,552.47,0.70796,1.26419,0.66758,1.06405,0.81746,0.89572,0.81664,0.64196,0.81746,0.89572,0.81664,0.63096,0.77002,1.24862,1.00629,0.95639,0.001406,0.001406,0.001406
17,585.481,0.69628,1.20889,0.66761,1.04915,0.82848,0.9,0.82347,0.66022,0.83584,0.91652,0.82581,0.64884,0.78139,1.35088,0.93235,0.93873,0.0013664,0.0013664,0.0013664
18,619.359,0.70007,1.28444,0.6689,1.07439,0.80532,0.92,0.81358,0.66656,0.80532,0.92,0.81358,0.64393,0.70685,1.15815,0.97167,0.89422,0.0013268,0.0013268,0.0013268
19,652.969,0.67171,1.19051,0.6271,1.05145,0.83525,0.92,0.82461,0.67955,0.83525,0.92,0.82461,0.66524,0.75012,1.15252,0.95104,0.93048,0.0012872,0.0012872,0.0012872
20,687.279,0.67123,1.25134,0.63439,1.03608,0.83404,0.92,0.82042,0.66286,0.83404,0.92,0.82034,0.64346,0.73654,1.31152,1.06892,0.91977,0.0012476,0.0012476,0.0012476
21,720.578,0.66085,1.19984,0.61154,1.04388,0.83511,0.92,0.82629,0.67734,0.83511,0.92,0.82561,0.66521,0.75539,1.25524,0.9436,0.92478,0.001208,0.001208,0.001208
22,754.773,0.63601,1.09321,0.55834,1.01614,0.83385,0.92,0.83677,0.69733,0.83385,0.92,0.83667,0.66703,0.70717,1.28079,1.20133,0.89874,0.0011684,0.0011684,0.0011684
23,788.85,0.59805,1.08546,0.54718,1.00287,0.83399,0.92,0.81403,0.68307,0.83399,0.92,0.81403,0.66547,0.67888,1.07724,0.85997,0.88169,0.0011288,0.0011288,0.0011288
24,822.586,0.61819,1.1811,0.55978,1.01922,0.83423,0.92,0.84207,0.6869,0.83423,0.92,0.84207,0.6817,0.69004,1.10884,0.92024,0.90429,0.0010892,0.0010892,0.0010892
25,857.15,0.6395,1.16586,0.57888,1.02866,0.83572,0.92,0.84867,0.68561,0.83572,0.92,0.84867,0.67227,0.76712,1.21425,0.90259,0.94185,0.0010496,0.0010496,0.0010496
26,890.341,0.61829,1.1335,0.54346,1.00907,0.83464,0.92,0.82186,0.66987,0.83464,0.92,0.82186,0.65023,0.69434,1.18765,0.9057,0.90419,0.00101,0.00101,0.00101
27,924.835,0.6301,1.09811,0.54037,1.0192,0.83515,0.92,0.80329,0.66206,0.83515,0.92,0.80315,0.6457,0.69932,1.09758,0.83619,0.9141,0.0009704,0.0009704,0.0009704
28,960.022,0.57813,1.0611,0.52049,1.00957,0.83419,0.92,0.80537,0.69691,0.83419,0.92,0.80537,0.67115,0.58437,1.03851,0.82527,0.86491,0.0009308,0.0009308,0.0009308
29,995.085,0.54392,1.04977,0.49402,0.99009,0.83501,0.92,0.8206,0.6885,0.83501,0.92,0.8206,0.66977,0.61976,1.04218,0.76113,0.8861,0.0008912,0.0008912,0.0008912
30,1031.29,0.55833,1.01765,0.4796,0.97438,0.83901,0.93811,0.84592,0.73761,0.83901,0.93811,0.84592,0.698,0.61104,1.05552,0.73203,0.87144,0.0008516,0.0008516,0.0008516
31,1067.57,0.57222,1.03033,0.49098,1.00236,0.83515,0.92,0.82417,0.70075,0.83515,0.92,0.82417,0.68319,0.63411,1.06887,0.75187,0.88544,0.000812,0.000812,0.000812
32,1100.95,0.57575,1.07341,0.4917,0.98771,0.83484,0.92,0.80967,0.68128,0.83484,0.92,0.80967,0.6334,0.64346,1.23141,0.813,0.88519,0.0007724,0.0007724,0.0007724
33,1133.79,0.57843,1.10858,0.49427,0.99956,0.83451,0.92,0.80824,0.68549,0.83451,0.92,0.80824,0.66772,0.61935,1.12611,0.8106,0.87294,0.0007328,0.0007328,0.0007328
34,1167.77,0.56805,1.04447,0.49979,0.99065,0.83523,0.92,0.85484,0.74998,0.83523,0.92,0.85484,0.71532,0.6146,1.10772,0.73775,0.87699,0.0006932,0.0006932,0.0006932
35,1200.56,0.51938,0.97057,0.45593,0.97885,0.83479,0.92,0.82257,0.70071,0.83479,0.92,0.82257,0.66744,0.63347,1.10237,0.78072,0.88172,0.0006536,0.0006536,0.0006536
36,1233.73,0.52045,1.02531,0.4525,0.97979,0.83466,0.92,0.84597,0.71901,0.83466,0.92,0.84597,0.70395,0.59877,1.10462,0.77138,0.86194,0.000614,0.000614,0.000614
37,1267.82,0.53102,0.94831,0.4579,0.96864,0.83503,0.92,0.86573,0.73949,0.83503,0.92,0.86573,0.71498,0.58604,1.11827,0.75122,0.86384,0.0005744,0.0005744,0.0005744
38,1301.49,0.51516,1.00861,0.44567,0.97416,0.8351,0.92,0.8719,0.75827,0.8351,0.92,0.8719,0.73148,0.55537,1.11689,0.74958,0.85136,0.0005348,0.0005348,0.0005348
39,1335.6,0.48428,0.96148,0.41983,0.96525,0.83562,0.92,0.85794,0.74327,0.83562,0.92,0.85794,0.72615,0.56505,1.02915,0.7113,0.85495,0.0004952,0.0004952,0.0004952
40,1370.22,0.49878,0.88242,0.41735,0.96831,0.83518,0.92,0.81893,0.708,0.83518,0.92,0.81893,0.68242,0.59128,1.08707,0.74939,0.86621,0.0004556,0.0004556,0.0004556
41,1460.05,0.3972,0.88254,0.43101,0.89709,0.83506,0.92,0.81314,0.69614,0.83506,0.92,0.81314,0.68233,0.6007,1.07909,0.70775,0.87332,0.000416,0.000416,0.000416
42,1493.87,0.39309,0.89316,0.41299,0.88106,0.83503,0.92,0.82116,0.70099,0.83503,0.92,0.82116,0.68565,0.60542,1.08465,0.73441,0.87537,0.0003764,0.0003764,0.0003764
43,1527.44,0.38763,0.85562,0.36474,0.89224,0.83515,0.92,0.84324,0.73314,0.83515,0.92,0.84324,0.71756,0.59378,1.04832,0.78092,0.87092,0.0003368,0.0003368,0.0003368
44,1563.89,0.3689,0.82775,0.3492,0.8612,0.8351,0.92,0.86099,0.75025,0.8351,0.92,0.86099,0.72131,0.57999,1.07238,0.71086,0.86781,0.0002972,0.0002972,0.0002972
45,1599.15,0.34911,0.79989,0.33121,0.86381,0.83519,0.92,0.84619,0.73651,0.83519,0.92,0.84619,0.71379,0.56557,1.08562,0.70465,0.8607,0.0002576,0.0002576,0.0002576
46,1634.81,0.35438,0.80623,0.33157,0.86847,0.83514,0.92,0.8327,0.7297,0.83514,0.92,0.8327,0.70104,0.57238,1.07933,0.73449,0.85962,0.000218,0.000218,0.000218
47,1669.47,0.33867,0.80856,0.32039,0.85411,0.83484,0.92,0.84578,0.73078,0.83484,0.92,0.84578,0.71406,0.59465,1.0633,0.7356,0.86425,0.0001784,0.0001784,0.0001784
48,1704.69,0.351,0.81153,0.32494,0.85925,0.83482,0.92,0.85281,0.73827,0.83482,0.92,0.85281,0.72282,0.60092,1.07403,0.73125,0.86855,0.0001388,0.0001388,0.0001388
49,1739.67,0.3244,0.74997,0.30471,0.84413,0.83487,0.92,0.84457,0.73289,0.83487,0.92,0.84457,0.7152,0.59061,1.07657,0.722,0.86486,9.92e-05,9.92e-05,9.92e-05
50,1775.61,0.30981,0.74545,0.29773,0.83999,0.83481,0.92,0.84705,0.73408,0.83481,0.92,0.84705,0.72049,0.58647,1.07725,0.71483,0.862,5.96e-05,5.96e-05,5.96e-05
