epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4366,1.0118,2.33487,1.87912,1.11387,0.63473,0.31297,0.46731,0.29302,0.52685,0.26742,0.31764,0.12011,0.96155,1.91661,4.5478,0.74578,0.000649123,0.000649123,0.000649123
2,62.6068,0.9892,1.80469,1.15378,1.06291,0.77037,0.6,0.66948,0.39003,0.77037,0.6,0.66948,0.43601,0.94652,1.18502,4.17811,0.76431,0.00128974,0.00128974,0.00128974
3,88.0758,0.99846,1.79493,1.14622,1.07921,0.67906,0.48,0.51775,0.33817,0.67906,0.48,0.51662,0.35043,0.92075,2.1459,24.6833,0.79081,0.00190395,0.00190395,0.00190395
4,115.912,0.93653,1.74028,1.04878,1.07848,0.78047,0.7,0.7302,0.52264,0.78047,0.7,0.7302,0.53299,0.78254,1.11567,15.0972,0.72029,0.0018812,0.0018812,0.0018812
5,143.257,0.96214,1.74709,1.01202,1.05203,0.49638,0.5,0.51695,0.38174,0.49638,0.5,0.51695,0.36415,0.79288,1.04234,22.0031,0.72292,0.0018416,0.0018416,0.0018416
6,170.56,0.93764,1.60075,0.96374,1.0638,0.82818,0.88,0.81791,0.60596,0.82818,0.88,0.81791,0.60494,0.65185,0.90276,13.3404,0.70868,0.001802,0.001802,0.001802
7,197.811,0.90886,1.48644,0.91544,1.03512,0.82055,0.91456,0.81429,0.57774,0.82055,0.91456,0.81429,0.60171,0.77313,0.93558,12.1273,0.7387,0.0017624,0.0017624,0.0017624
8,225.148,0.88801,1.54425,0.86619,1.02701,0.83261,0.92,0.80271,0.61617,0.83261,0.92,0.80271,0.59166,0.64128,0.91538,13.5133,0.68432,0.0017228,0.0017228,0.0017228
9,252.184,0.81887,1.371,0.82077,1.00266,0.8356,0.91499,0.8002,0.57052,0.8356,0.91499,0.8002,0.60011,0.67902,0.88457,19.9249,0.67499,0.0016832,0.0016832,0.0016832
10,281.478,0.80421,1.37803,0.79516,1.00239,0.82556,0.92,0.80151,0.58682,0.82556,0.92,0.80151,0.58176,0.6931,1.01881,12.2658,0.6811,0.0016436,0.0016436,0.0016436
11,309.994,0.79584,1.36012,0.75873,0.98842,0.83332,0.92,0.83763,0.67122,0.83332,0.92,0.83763,0.63274,0.62993,0.95515,11.4352,0.67572,0.001604,0.001604,0.001604
